"Date","Price","Open","High","Low","Change %"
"12/01/2017","0.378","0.378","0.378","0.378","-5.26%"
"11/30/2017","0.399","0.399","0.399","0.399","-0.75%"
"11/29/2017","0.402","0.402","0.402","0.402","0.00%"
"11/28/2017","0.402","0.402","0.402","0.402","-1.71%"
"11/27/2017","0.409","0.409","0.409","0.409","-0.73%"
"11/24/2017","0.412","0.412","0.412","0.412","0.24%"
"11/23/2017","0.411","0.411","0.411","0.411","0.24%"
"11/22/2017","0.410","0.410","0.410","0.410","-0.97%"
"11/21/2017","0.414","0.414","0.414","0.414","0.24%"
"11/20/2017","0.413","0.413","0.413","0.413","0.24%"
"11/17/2017","0.412","0.412","0.412","0.412","-0.72%"
"11/16/2017","0.415","0.415","0.415","0.415","0.00%"
"11/15/2017","0.415","0.415","0.415","0.415","-0.72%"
"11/14/2017","0.418","0.418","0.418","0.418","1.21%"
"11/13/2017","0.413","0.413","0.413","0.413","-0.72%"
"11/10/2017","0.416","0.416","0.416","0.416","0.24%"
"11/09/2017","0.415","0.415","0.415","0.415","1.22%"
"11/08/2017","0.410","0.410","0.410","0.410","-1.91%"
"11/07/2017","0.418","0.418","0.418","0.418","2.20%"
"11/06/2017","0.409","0.409","0.409","0.409","-9.91%"
"11/03/2017","0.454","0.454","0.454","0.454","20.11%"
"11/02/2017","0.378","0.378","0.378","0.378","2.44%"
"11/01/2017","0.369","0.369","0.369","0.369","0.00%"
"10/31/2017","0.369","0.369","0.369","0.369","11.48%"
"10/30/2017","0.331","0.331","0.331","0.331","1.22%"
"10/29/2017","0.327","0.327","0.327","0.327","0.00%"
"10/27/2017","0.327","0.327","0.327","0.327","0.93%"
"10/26/2017","0.324","0.324","0.324","0.324","3.85%"
"10/25/2017","0.312","0.312","0.312","0.312","1.30%"
"10/24/2017","0.308","0.308","0.308","0.308","2.67%"
"10/23/2017","0.300","0.309","0.309","0.309","2.04%"
"10/22/2017","0.294","0.294","0.294","0.294","0.00%"
"10/20/2017","0.294","0.294","0.294","0.294","1.38%"
"10/19/2017","0.290","0.290","0.290","0.290","-0.34%"
"10/18/2017","0.291","0.291","0.291","0.291","1.04%"
"10/17/2017","0.288","0.288","0.288","0.288","10.34%"
"10/16/2017","0.261","0.261","0.261","0.261","7.41%"
"10/13/2017","0.243","0.243","0.243","0.243","-0.82%"
"10/12/2017","0.245","0.245","0.245","0.245","2.94%"
"10/11/2017","0.238","0.238","0.238","0.238","3.03%"
"10/10/2017","0.231","0.231","0.231","0.231","7.44%"
"10/09/2017","0.215","0.215","0.215","0.215","-2.27%"
"10/06/2017","0.220","0.220","0.220","0.220","0.92%"
"10/05/2017","0.218","0.218","0.218","0.218","1.40%"
"10/04/2017","0.215","0.215","0.215","0.215","-0.92%"
"10/03/2017","0.217","0.217","0.217","0.217","-8.82%"
"10/02/2017","0.238","0.238","0.238","0.238","-1.65%"
"09/29/2017","0.242","0.242","0.242","0.242","1.26%"
"09/28/2017","0.239","0.239","0.239","0.239","0.84%"
"09/27/2017","0.237","0.237","0.237","0.237","-0.42%"
"09/26/2017","0.238","0.238","0.238","0.238","5.31%"
"09/25/2017","0.226","0.226","0.226","0.226","-2.16%"
"09/22/2017","0.231","0.231","0.231","0.231","3.12%"
"09/21/2017","0.224","0.224","0.224","0.224","-2.61%"
"09/20/2017","0.230","0.230","0.230","0.230","-0.43%"
"09/19/2017","0.231","0.231","0.231","0.231","2.21%"
"09/18/2017","0.226","0.226","0.226","0.226","-2.16%"
"09/15/2017","0.231","0.252","0.252","0.252","1.32%"
"09/14/2017","0.228","0.228","0.228","0.228","2.70%"
"09/13/2017","0.222","0.222","0.222","0.222","3.26%"
